RRS_1,RRS_2,RRS_3,RRS_4,RRS_5,RRS_6,RRS_7,RRS_8,RRS_9,RRS_10,SCRS_1,SCRS_2,SCRS_3,SCRS_4,SCRS_5,SCRS_6,SCRS_7,SCRS_8,SCRS_9,SCRS_10
2,2,3,2,1,3,2,4,2,2,4,3,4,3,2,3,4,4,3,4
2,3,3,2,1,2,2,3,3,4,3,4,4,4,2,4,4,2,1,3
2,2,1,3,1,2,2,2,1,3,3,2,3,3,1,1,2,3,2,3
1,4,2,2,4,1,1,2,4,3,2,2,2,1,1,2,1,4,1,1
2,3,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1
2,1,1,2,1,3,1,2,1,2,1,1,1,2,1,1,1,2,1,1
2,4,4,2,3,3,3,3,3,4,2,4,2,3,1,1,1,2,1,4
1,2,2,1,3,2,1,3,2,2,2,3,4,3,3,3,4,3,2,2
3,3,1,4,1,3,2,2,3,4,4,4,4,4,3,1,3,3,4,2
1,2,2,1,1,2,1,2,1,1,2,3,4,2,1,1,2,3,1,3
2,3,1,3,2,1,1,3,2,1,2,3,2,2,1,1,1,2,2,3
2,1,1,3,1,4,2,3,3,4,2,3,3,2,2,3,1,4,1,1
2,1,2,1,1,3,3,1,1,3,3,4,2,4,4,4,2,3,1,2
3,4,2,4,1,3,4,3,1,3,3,4,4,4,2,4,4,3,4,3
1,2,1,2,1,2,1,1,3,1,3,4,1,1,1,1,2,2,1,1
1,1,3,2,1,3,4,4,2,1,1,4,3,4,2,4,4,4,1,4
2,3,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1
3,3,1,2,1,2,1,3,2,3,2,3,1,2,2,2,1,4,2,3
2,3,3,1,1,1,1,2,3,3,3,3,1,2,1,2,2,3,1,1
2,1,3,1,1,3,2,2,1,1,1,3,4,3,2,1,3,2,3,1
1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1
3,4,1,2,3,4,3,3,3,2,4,4,3,3,3,1,2,3,3,4
2,3,3,2,1,3,1,3,2,2,2,3,3,3,3,2,3,2,4,3
2,1,1,2,1,2,3,2,1,2,3,3,4,3,1,2,2,3,3,3
4,4,2,4,1,4,4,2,1,2,2,2,4,4,4,4,4,4,4,4
3,2,2,4,2,3,1,3,2,4,2,4,4,3,3,3,4,3,4,4
1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1
2,1,3,1,1,3,1,1,1,2,1,1,3,3,1,1,1,1,3,4
2,3,1,3,1,2,1,2,3,3,4,4,4,4,3,3,2,4,2,3
1,2,1,3,1,3,2,1,1,2,2,3,1,2,1,2,1,2,2,1
2,2,1,2,1,1,2,1,1,1,2,3,1,2,1,1,1,2,1,1
1,3,4,4,1,3,2,4,2,4,2,3,4,4,3,3,1,4,1,4
2,1,1,1,3,2,2,3,2,4,2,2,2,2,1,1,2,2,1,3
1,1,1,1,1,2,2,1,2,2,2,3,3,2,1,1,1,2,1,2
2,1,3,2,3,2,3,4,2,2,2,3,3,4,2,1,1,3,3,2
2,2,1,3,1,3,1,3,2,1,2,1,3,3,1,1,1,2,1,3
2,1,1,2,1,2,1,1,1,2,2,3,2,2,1,1,1,2,1,3
2,2,1,2,1,2,3,2,1,2,1,2,1,2,1,2,1,1,1,2
1,1,2,2,1,3,3,3,1,2,2,2,1,3,2,1,1,2,3,3
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,4,2,2,1,3,1,1,2,3,2,3,3,4,2,2,1,3,1,1
3,1,1,2,1,3,3,2,1,1,1,4,3,4,2,2,1,3,2,2
2,1,1,3,1,3,2,2,1,3,2,3,4,4,2,2,3,2,2,4
2,2,1,2,2,3,1,2,1,2,1,3,1,2,1,1,1,2,1,3
1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1
2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,3,1
2,3,2,2,1,3,1,2,1,2,2,2,3,2,1,1,2,2,2,3
3,4,1,1,1,3,1,2,1,3,2,4,4,2,1,1,2,3,4,3
2,3,2,2,1,2,2,3,2,4,3,4,4,3,2,2,2,3,4,3
3,4,2,2,2,1,2,2,1,3,3,2,3,3,3,3,2,3,4,4
3,3,2,3,1,4,2,3,1,2,3,4,3,3,2,2,1,2,1,2
2,2,1,2,1,2,4,1,1,1,1,2,1,3,1,1,1,2,1,2
2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
3,2,1,1,1,4,3,2,1,4,2,4,3,4,2,3,3,2,4,3
2,3,3,2,1,4,4,3,1,4,4,4,3,3,3,2,4,4,4,4
3,4,4,4,2,2,4,3,4,2,2,3,4,2,4,4,1,2,4,4
3,4,3,2,1,2,4,3,4,2,2,3,4,2,1,1,2,2,3,4
2,2,2,2,1,4,3,3,1,1,2,3,2,2,1,1,3,2,1,2
2,2,2,3,1,1,2,3,1,2,3,3,2,2,1,2,3,2,2,1
2,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,2,1,1,3
1,1,1,1,1,2,1,1,1,2,1,2,3,1,1,1,1,2,2,1
3,3,3,4,1,3,4,3,3,4,3,4,4,4,3,3,3,4,4,4
1,3,2,2,3,3,2,3,2,3,2,4,3,4,1,1,1,3,3,2
1,2,1,3,1,1,2,3,1,4,2,3,1,2,1,1,2,1,2,1
1,3,2,1,2,2,1,1,2,2,1,1,4,2,2,1,2,2,2,3
3,4,2,3,2,2,2,2,4,3,3,4,3,3,4,1,2,2,3,2
3,1,1,1,1,2,2,2,1,1,2,4,2,3,2,2,3,2,3,2
1,2,2,3,2,3,1,2,2,3,2,2,2,3,1,1,1,2,1,2
3,2,1,4,1,4,2,2,3,4,3,4,4,4,4,3,2,3,4,4
2,2,1,2,3,3,2,2,2,4,2,3,2,3,2,1,2,1,1,3
3,1,1,2,1,3,4,2,2,3,3,4,3,3,3,2,2,2,4,3
3,2,1,2,1,3,2,1,1,2,4,4,3,4,2,1,2,3,4,3
2,2,2,3,1,4,3,2,1,2,3,3,4,4,3,2,4,2,3,4
3,2,2,1,1,2,2,3,2,1,1,2,3,2,2,1,1,2,1,3
3,4,4,3,2,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4
3,2,2,2,1,3,3,3,2,4,4,4,4,4,3,2,2,4,4,4
3,2,1,4,1,4,4,3,3,4,2,4,3,4,2,1,1,4,4,1
2,2,2,1,3,2,2,2,2,2,2,2,3,3,2,1,2,2,2,3
1,3,3,2,1,1,3,4,2,3,2,2,4,3,2,2,3,3,1,2
2,2,2,3,1,2,2,2,2,3,2,2,2,2,2,2,3,3,4,3
1,2,1,1,1,1,2,2,1,1,2,1,3,2,1,1,2,1,1,1
2,3,2,2,1,4,2,3,2,2,2,4,3,4,3,4,2,4,3,4
2,3,3,2,1,2,2,2,2,2,2,3,3,4,2,2,3,4,1,2
3,1,2,2,1,3,4,2,2,3,2,4,4,4,3,4,2,2,3,2
2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,3
3,3,2,3,1,3,4,4,3,3,4,4,3,4,2,4,4,3,3,2
2,2,3,1,1,3,2,2,1,2,2,2,2,3,2,1,2,3,1,2
2,3,1,3,2,3,2,2,3,3,2,4,3,4,2,1,2,3,1,2
1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
2,2,2,1,1,3,2,2,1,1,4,3,4,3,2,1,3,3,3,3
2,1,2,1,1,3,2,2,2,2,2,4,3,4,3,2,2,3,2,3
1,2,2,1,1,3,1,2,2,1,2,2,1,2,2,1,1,1,2,3
3,1,1,2,1,2,2,1,1,2,1,2,2,4,1,1,1,2,1,2
1,1,2,2,1,1,1,2,1,2,2,3,1,3,2,2,1,3,1,1
2,1,1,1,1,2,1,2,1,1,1,3,1,2,1,1,1,2,1,2
1,4,1,1,1,2,2,3,1,1,1,2,1,2,1,1,1,1,1,1
1,1,2,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,1,1
2,1,2,1,1,3,1,1,2,3,3,2,1,2,1,1,1,3,1,2
2,1,2,2,1,3,1,2,1,3,3,2,1,2,1,1,2,3,1,2
1,2,2,1,1,3,1,2,1,1,2,3,1,1,2,1,2,3,1,1
1,2,3,3,2,2,3,1,1,3,3,3,2,2,2,1,2,2,1,3
1,1,0,1,1,1,1,1,1,1,2,3,2,2,1,1,1,2,1,1
1,2,3,1,1,2,2,1,1,2,2,3,1,2,1,1,1,2,1,1
2,2,1,1,1,2,1,2,3,3,2,1,2,2,2,1,1,2,1,3
2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1
1,2,2,2,1,2,2,1,1,3,2,2,2,2,1,1,1,2,1,3
2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1
