id,m,lower,upper,,,,id,m,lower,upper
RRS: alone1 - alone2,0.462707525118999,0.407499660251563,0.517915389986436,,,,RRS: handle - SCRS: productive,0.145663953925381,0.084610272906297,0.206717634944464
SCRS: habits - act around,0.267287322970519,0.202294798173305,0.332279847767733,,,,RRS: wish - SCRS: situation,0.144201059283168,0.08119434759823,0.207207770968105
SCRS: different - productive,0.254920704018314,0.193758914728069,0.31608249330856,,,,RRS: problem - SCRS: different,0.128855445108178,0.065284923209342,0.192425967007014
SCRS: said - situation,0.242940266138132,0.184940558305643,0.300939973970622,,,,SCRS: act around - mistakes,0.082796540038369,0.02026261395086,0.145330466125879
RRS: analyze - person,0.231808405939996,0.17072336106795,0.292893450812041,,,,SCRS: mistakes - productive,0.074401734488598,0.013145888109919,0.135657580867278
SCRS: aspects - said,0.220042044839531,0.16176505297625,0.278319036702812,,,,RRS: react - SCRS: act around,0.070863620504689,0.009504624640972,0.132222616368406
SCRS: thoughts - time,0.210500144005641,0.150230186669212,0.270770101342069,,,,RRS: wish - SCRS: different,0.070079469971652,0.013935139001621,0.126223800941683
SCRS: situation - mistakes,0.193344116040846,0.131851751737717,0.254836480343975,,,,RRS: problem - SCRS: habits,0.068280721510436,0.005414466446005,0.131146976574867
RRS: write - person,0.178435637781971,0.11445017357484,0.242421101989103,,,,RRS: handle - SCRS: mistakes,0.067275429471075,0.006910782722708,0.127640076219442
SCRS: act around - time,0.16716017660972,0.10424177480591,0.23007857841353,,,,,,,
SCRS: said - mistakes,0.166439389313436,0.105733572690069,0.227145205936803,,,,,,,
SCRS: habits - different,0.165011796254724,0.103948152121101,0.226075440388348,,,,,,,
RRS: react - handle,0.160083825353328,0.097567966674969,0.222599684031688,,,,,,,
RRS: deserve - problem,0.157317381937975,0.091431704844917,0.223203059031034,,,,,,,
SCRS: aspects - habits,0.15619470136129,0.093241944986186,0.219147457736395,,,,,,,
SCRS: thoughts - situation,0.149087656254856,0.090605819458708,0.207569493051005,,,,,,,
SCRS: aspects - thoughts,0.146705988624802,0.087587870905952,0.205824106343651,,,,,,,
RRS: handle - SCRS: productive,0.145663953925381,0.084610272906297,0.206717634944464,,,,,,,
RRS: wish - SCRS: situation,0.144201059283168,0.08119434759823,0.207207770968105,,,,,,,
RRS: analyze - alone1,0.136718260910393,0.079925012711439,0.193511509109347,,,,,,,
SCRS: thoughts - productive,0.136487583778544,0.076644172556711,0.196330995000377,,,,,,,
RRS: problem - SCRS: different,0.128855445108178,0.065284923209342,0.192425967007014,,,,,,,
RRS: wish - problem,0.125546584880008,0.062959741043081,0.188133428716935,,,,,,,
SCRS: time - different,0.117211511173498,0.050040309522012,0.184382712824985,,,,,,,
RRS: analyze - react,0.10569812606518,0.043866042929279,0.167530209201081,,,,,,,
SCRS: mistakes - different,0.103699680997821,0.04778280353255,0.159616558463091,,,,,,,
SCRS: thoughts - habits,0.102704314901962,0.041799311730375,0.16360931807355,,,,,,,
SCRS: situation - habits,0.102532323992293,0.043340441135931,0.161724206848654,,,,,,,
RRS: deserve - wish,0.099709689392583,0.032778700185016,0.166640678600151,,,,,,,
RRS: problem - handle,0.097085981826932,0.033282882968043,0.160889080685821,,,,,,,
SCRS: aspects - time,0.095503095597024,0.036673674088738,0.154332517105309,,,,,,,
RRS: person - alone2,0.09298642120058,0.031961551481401,0.154011290919757,,,,,,,
RRS: alone1 - person,0.089360468835364,0.027130706298349,0.15159023137238,,,,,,,
RRS: write - alone2,0.088665900369743,0.032953993733145,0.144377807006341,,,,,,,
SCRS: said - act around,0.084716713228174,0.029204592706455,0.140228833749893,,,,,,,
SCRS: act around - mistakes,0.082796540038369,0.02026261395086,0.145330466125879,,,,,,,
RRS: react - person,0.08048748785327,0.015371744670835,0.145603231035704,,,,,,,
RRS: wish - SCRS: mistakes,0.075200050028932,0.010930695579182,0.139469404478683,,,,,,,
SCRS: habits - time,0.074991029716548,0.008119427026435,0.141862632406661,,,,,,,
SCRS: mistakes - productive,0.074401734488598,0.013145888109919,0.135657580867278,,,,,,,
RRS: handle - person,0.073588224434333,0.010124203439321,0.137052245429344,,,,,,,
RRS: react - SCRS: act around,0.070863620504689,0.009504624640972,0.132222616368406,,,,,,,
RRS: wish - SCRS: different,0.070079469971652,0.013935139001621,0.126223800941683,,,,,,,
RRS: problem - SCRS: habits,0.068280721510436,0.005414466446005,0.131146976574867,,,,,,,
RRS: handle - SCRS: mistakes,0.067275429471075,0.006910782722708,0.127640076219442,,,,,,,
SCRS: situation - act around,0.058939854924559,0.001517280322688,0.116362429526431,,,,,,,
